[2019-08-03 18:02:22,041] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-03 18:02:53,676] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-03 18:48:45,971] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-03 18:48:46,063] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2019-08-03 18:48:46,063] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2019-08-03 18:48:46,067] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2019-08-03 18:48:46,071] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2019-08-03 18:48:46,103] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2019-08-03 18:48:46,143] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 24) (kafka.controller.KafkaController)
[2019-08-03 18:48:46,147] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-03 18:48:46,155] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-08-03 18:48:46,159] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2019-08-03 18:48:46,163] INFO [Controller id=0] Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-08-03 18:48:46,163] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2019-08-03 18:48:46,163] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-03 18:48:46,163] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-03 18:48:46,163] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2019-08-03 18:48:46,167] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2019-08-03 18:48:46,167] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-08-03 18:48:46,167] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2019-08-03 18:48:46,167] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2019-08-03 18:48:46,175] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ReplicaStateMachine)
[2019-08-03 18:48:46,175] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ReplicaStateMachine)
[2019-08-03 18:48:46,191] INFO [RequestSendThread controllerId=0] Controller 0 connected to DESKTOP-41AHJ2O:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
